gene_id	gene_name	chr	tss	gene_expr_log2_mean
ENSG00000089116.3	LHX5	chr12	113909827	0.000000
ENSG00000264583.1	MIR4487	chr11	47422520	0.000000
ENSG00000231027.1	AC079325.6	chr17	72563432	0.000000
ENSG00000224695.1	MTND6P7	chr2	83045135	0.000000
ENSG00000255189.1	GLYATL1P1	chr11	58746259	0.000000
ENSG00000164114.14	MAP9	chr4	156273788	1.111031
ENSG00000231699.1	AC020550.7	chr2	198398526	0.000000
ENSG00000251710.1	AC010295.1	chr5	153472889	0.000000
ENSG00000210184.1	MT-TS2	chrM	12206	2.464668
ENSG00000179632.5	MAF1	chr8	145159401	0.831877
ENSG00000224570.1	RP11-430H12.2	chr1	66044013	0.000000
ENSG00000271677.1	RP1-274L7.3	chrX	129679559	0.000000
ENSG00000114861.14	FOXP1	chr3	71015453	0.000000
ENSG00000268397.1	AC008443.1	chr5	180682719	0.000000
ENSG00000138193.10	PLCE1	chr10	95753745	0.000000
ENSG00000243073.3	PRAMEF4	chr1	12945975	0.000000
ENSG00000152942.14	RAD17	chr5	68665119	3.575312
ENSG00000240809.1	RP11-550F7.1	chr3	76483168	0.000000
ENSG00000100968.9	NFATC4	chr14	24834878	0.028569
ENSG00000272420.1	RP4-740C4.7	chr1	2295017	0.000000
ENSG00000232363.1	RP1-102D24.5	chr22	45844574	0.000000
ENSG00000227233.1	CICP17	chr7	51449980	0.000000
ENSG00000085721.8	RRN3	chr16	15177557	0.000000
ENSG00000273311.1	DGCR11	chr22	19035838	0.000000
ENSG00000259209.1	RP5-991G20.2	chr16	72840886	0.000000
ENSG00000136169.12	SETDB2	chr13	50018428	1.910733
ENSG00000121644.14	DESI2	chr1	244816236	0.782409
ENSG00000138495.2	COX17	chr3	119394374	7.594250
ENSG00000135903.14	PAX3	chr2	223086079	0.000000
ENSG00000204528.3	PSORS1C3	chr6	31145626	0.000000
ENSG00000251286.2	RP11-588F10.1	chr4	53307651	0.000000
ENSG00000111863.8	ADTRP	chr6	11728740	0.000000
ENSG00000101323.4	HAO1	chr20	7921071	0.000000
ENSG00000272456.1	CTD-2342N23.3	chr8	135735189	0.000000
ENSG00000263711.1	RP11-169F17.1	chr18	70931488	0.464668
ENSG00000262662.1	CTD-2561B21.3	chr17	78935463	0.000000
ENSG00000219395.2	HSPA8P15	chr6	151735030	0.000000
ENSG00000142528.11	ZNF473	chr19	50528970	2.682573
ENSG00000103037.7	SETD6	chr16	58549382	3.021480
ENSG00000255349.1	OR4A7P	chr11	51426780	0.000000
ENSG00000123444.9	KBTBD4	chr11	47600270	3.440952
ENSG00000266135.1	RN7SL625P	chr7	72312255	0.000000
ENSG00000226086.5	EIF3LP3	chr10	38369755	0.000000
ENSG00000235023.1	AP001626.2	chr21	44071304	0.000000
ENSG00000176973.7	FAM89B	chr11	65339819	0.782409
ENSG00000252189.1	U3	chr10	88505656	0.000000
ENSG00000211682.2	IGLJ6	chr22	23260303	0.000000
ENSG00000231630.1	RP11-740P5.3	chr1	2731513	0.000000
ENSG00000249514.1	CTD-2266L18.1	chr5	90327074	0.000000
ENSG00000231827.2	RP11-216N14.5	chr1	153767648	0.000000
ENSG00000159479.12	MED8	chr1	43852552	4.493135
ENSG00000112511.13	PHF1	chr6	33378175	0.422233
ENSG00000254392.1	RP11-759A9.2	chr8	51403354	0.000000
ENSG00000202534.1	RNU6-1329P	chr12	93346414	0.000000
ENSG00000231062.1	AC103563.9	chr2	95718871	0.000000
ENSG00000259221.1	CTD-2050N2.1	chr15	47688738	0.000000
ENSG00000159915.8	ZNF233	chr19	44754317	1.545968
ENSG00000200606.1	Y_RNA	chr15	59867872	0.000000
ENSG00000178297.8	TMPRSS9	chr19	2389768	0.000000
ENSG00000253946.1	CTC-425K20.1	chr5	165332130	0.000000
ENSG00000143248.8	RGS5	chr1	163122456	2.384050
ENSG00000234336.2	JAZF1-AS1	chr7	28219940	0.000000
ENSG00000144504.11	ANKMY1	chr2	241439471	1.454176
ENSG00000164116.12	GUCY1A3	chr4	156587862	0.970854
ENSG00000197019.4	SERTAD1	chr19	40931882	1.505891
ENSG00000138669.5	PRKG2	chr4	82074836	0.000000
ENSG00000273305.1	RP11-440D17.4	chr2	96203716	0.000000
ENSG00000210117.1	MT-TW	chrM	5511	0.000000
ENSG00000250927.1	MESTP3	chr4	28825783	0.000000
ENSG00000174013.7	FBXO45	chr3	196295481	0.895303
ENSG00000235110.4	RP11-8J23.1	chr3	143574934	0.000000
ENSG00000227863.2	AC002383.2	chr7	89073287	0.000000
ENSG00000251332.1	RP11-177C12.4	chr4	37997774	0.000000
ENSG00000259235.1	RP11-605F22.2	chr15	48483129	0.000000
ENSG00000258507.1	RP13-582L3.4	chr4	8862503	0.000000
ENSG00000244019.1	RPS2P24	chr5	76841221	0.000000
ENSG00000250385.1	RP11-310P5.2	chr5	524819	0.000000
ENSG00000205944.7	DAZ2	chrY	25365593	0.000000
ENSG00000106069.16	CHN2	chr7	29161889	0.000000
ENSG00000251234.1	PSMA2P2	chr8	94955055	0.000000
ENSG00000232301.1	RP11-132A1.3	chr7	100942893	0.000000
ENSG00000214925.3	RP3-507I15.1	chrX	140232662	0.000000
ENSG00000227851.1	RP11-381K7.1	chr10	113111811	0.000000
ENSG00000225715.1	RP11-325E14.5	chrX	79965426	0.000000
ENSG00000254768.1	CTD-2140G10.2	chr11	22359720	0.000000
ENSG00000176928.4	GCNT4	chr5	74326674	0.000000
ENSG00000233714.1	AC012506.2	chr2	23570524	0.000000
ENSG00000201529.1	Y_RNA	chr14	68084082	0.000000
ENSG00000240250.2	RN7SL541P	chr5	133853500	0.000000
ENSG00000101158.8	NELFCD	chr20	57556262	6.008989
ENSG00000129455.11	KLK8	chr19	51501173	0.000000
ENSG00000178904.14	DPY19L3	chr19	32896448	0.310340
ENSG00000216902.3	RP1-161C16.1	chr6	85967045	0.000000
ENSG00000265875.1	AC011357.1	chr5	146114397	0.000000
ENSG00000067840.8	PDZD4	chrX	153073544	0.000000
ENSG00000254672.1	RP5-916O11.3	chr11	35990176	0.000000
ENSG00000150773.6	PIH1D2	chr11	111943743	0.084064
ENSG00000143033.13	MTF2	chr1	93544791	4.319040
ENSG00000256150.1	RP11-885B4.1	chr12	2881024	0.000000
ENSG00000257941.1	RP11-290L1.4	chr12	76451317	0.000000
ENSG00000106410.10	NOBOX	chr7	144100749	0.000000
ENSG00000033030.9	ZCCHC8	chr12	122963030	1.298658
ENSG00000083857.9	FAT1	chr4	187516849	0.000000
ENSG00000161896.6	IP6K3	chr6	33714632	0.000000
ENSG00000251249.1	RP11-73G16.1	chr4	152877142	0.000000
ENSG00000267083.1	KRT18P61	chr17	58887525	0.000000
ENSG00000259847.1	RP11-95H3.1	chr16	65210426	0.000000
ENSG00000226668.1	RP11-526D8.7	chr9	95644848	0.000000
ENSG00000268140.1	PCGF7P	chr19	22320732	0.000000
ENSG00000250006.2	CTB-179I1.1	chr4	78233214	0.000000
ENSG00000236313.1	VN1R53P	chr10	37637543	0.000000
ENSG00000269774.1	AC005399.1	chr22	17690772	0.000000
ENSG00000261739.2	GOLGA8S	chr15	23599894	0.000000
ENSG00000273085.1	OR52E1	chr11	5090801	0.000000
ENSG00000260729.1	RP11-106M3.2	chr15	72668272	1.475085
ENSG00000245667.2	RP5-940J5.8	chr12	6652669	0.000000
ENSG00000258630.1	RP11-725G5.2	chr14	95795920	0.000000
ENSG00000203818.6	HIST2H3PS2	chr1	149400492	0.000000
ENSG00000258517.1	RP6-91H8.1	chr14	71679349	0.000000
ENSG00000166986.8	MARS	chr12	57869227	7.592158
ENSG00000202050.1	RNU6-391P	chr6	24365878	0.000000
ENSG00000267503.1	RP11-53B2.4	chr18	13564998	0.000000
ENSG00000259799.1	RP11-554A11.9	chr11	68923377	1.594549
ENSG00000150316.7	CWC15	chr11	94703612	8.268378
ENSG00000259852.2	IGHV1OR16-2	chr16	32989781	0.000000
ENSG00000205331.4	OR6C72P	chr12	55677533	0.000000
ENSG00000231952.3	DPY19L1P2	chr7	32852368	0.000000
ENSG00000252894.1	Y_RNA	chr3	130633246	0.000000
ENSG00000196748.5	CLPSL2	chr6	35744370	0.000000
ENSG00000160229.7	ZNF66	chr19	20959109	0.485427
ENSG00000206791.1	RNU1-129P	chr1	147486765	0.000000
ENSG00000261182.1	RP11-201A3.1	chr1	188187530	0.000000
ENSG00000203780.6	FANK1	chr10	127585107	0.028569
ENSG00000211978.2	IGHV5-78	chr14	107259582	0.000000
ENSG00000132874.9	SLC14A2	chr18	42792959	0.000000
ENSG00000212039.1	AL592205.1	chr1	97368254	0.000000
ENSG00000221923.4	ZNF880	chr19	52873169	2.056584
ENSG00000109805.5	NCAPG	chr4	17812524	2.111031
ENSG00000127329.10	PTPRB	chr12	70933789	0.000000
ENSG00000267102.1	RP11-686D22.7	chr17	33737197	0.000000
ENSG00000270720.1	RP11-84C13.2	chr4	90040434	0.000000
ENSG00000262358.1	CTD-3195I5.4	chr17	3632654	0.000000
ENSG00000250594.2	RP11-433B3.1	chr4	111186123	0.000000
ENSG00000271148.1	RP11-401N18.1	chr8	50819956	0.000000
ENSG00000144199.7	FAHD2B	chr2	97757393	1.042644
ENSG00000263570.1	AC074264.1	chr2	3021052	0.000000
ENSG00000259977.1	AL121578.2	chrX	37765399	0.000000
ENSG00000261469.1	RP11-96D1.6	chr16	68271520	0.000000
ENSG00000229941.1	AC012499.1	chr2	178563156	0.000000
ENSG00000184361.8	SPATA32	chr17	43339407	0.000000
ENSG00000227394.1	AC007386.3	chr2	65187718	0.000000
ENSG00000108774.10	RAB5C	chr17	40280727	6.603478
ENSG00000130985.12	UBA1	chrX	47050259	1.731183
ENSG00000212025.2	AC011748.1	chr2	34628774	0.000000
ENSG00000064601.12	CTSA	chr20	44518782	4.184280
ENSG00000147124.8	ZNF41	chrX	47326897	0.378512
ENSG00000189002.9	PROSP	chr3	90279067	0.000000
ENSG00000235944.3	ZNF815P	chr7	5862790	0.622930
ENSG00000222129.1	RNA5SP36	chr13	95303733	0.000000
ENSG00000166126.6	AMN	chr14	103388992	0.000000
ENSG00000231302.1	RPL36P2	chr20	49237299	0.000000
ENSG00000268442.1	HAVCR1P1	chr19	24346177	0.000000
ENSG00000244031.3	RPS3AP17	chr4	29965330	0.000000
ENSG00000268957.1	SIGLEC26P	chr19	51971840	0.000000
ENSG00000231392.1	LL22NC03-24A12.8	chr22	23117021	0.000000
ENSG00000237211.2	SETP4	chrX	84010143	0.000000
ENSG00000227879.2	PSPC1P1	chr13	19801522	0.000000
ENSG00000272512.1	RP11-54O7.17	chr1	933381	0.000000
ENSG00000254312.1	MRP63P7	chr8	99918695	0.000000
ENSG00000259981.1	AF096876.1	chr21	31462034	0.000000
ENSG00000205220.7	PSMB10	chr16	67969648	7.998872
ENSG00000244025.2	KRTAP19-3	chr21	31864225	0.000000
ENSG00000241057.1	AC004985.12	chr7	44012874	0.000000
ENSG00000001460.13	STPG1	chr1	24706263	0.422233
ENSG00000198231.8	DDX42	chr17	61850962	1.475085
ENSG00000145642.7	FAM159B	chr5	63986134	0.000000
ENSG00000117360.8	PRPF3	chr1	150293924	0.286881
ENSG00000221190.1	MIR1184-2	chrX	154612797	0.000000
ENSG00000218476.2	RP11-108N13.1	chr6	23102907	0.000000
ENSG00000107625.8	DDX50	chr10	70661033	2.891419
ENSG00000101440.5	ASIP	chr20	32782374	0.000000
ENSG00000196772.3	OR14A16	chr1	247978981	0.000000
ENSG00000234206.1	RP1-67A8.3	chr6	107832590	0.000000
ENSG00000080031.5	PTPRH	chr19	55718557	0.000000
ENSG00000154001.9	PPP2R5E	chr14	63920444	2.021480
ENSG00000268947.1	AD000684.2	chr19	35753748	0.000000
ENSG00000231982.1	RP11-573D15.1	chr3	186544337	0.000000
ENSG00000253833.1	RP11-367E12.4	chr8	74896727	0.000000
ENSG00000258509.1	RP11-857B24.3	chr14	45356894	0.000000
ENSG00000123407.3	HOXC12	chr12	54348617	0.000000
ENSG00000250420.4	AACSP1	chr5	178224562	0.000000
ENSG00000236764.4	COX7A2P2	chr4	97823951	0.000000
ENSG00000106125.14	FAM188B	chr7	30811032	0.111031
ENSG00000257802.1	MRS2P2	chr12	72244158	0.000000
ENSG00000200693.1	U3	chr14	64118167	0.000000
ENSG00000129910.3	CDH15	chr16	89238174	0.000000
ENSG00000234595.1	AC013733.3	chr2	182547839	0.000000
ENSG00000271824.1	AC009014.3	chr5	135528772	0.000000
ENSG00000218018.2	RP4-800J21.3	chr20	55968068	0.028569
ENSG00000253801.2	CTD-2060F24.1	chr5	67383272	0.000000
ENSG00000105053.6	VRK3	chr19	50484391	5.577731
ENSG00000121542.7	SEC22A	chr3	122920773	3.250962
ENSG00000125843.6	AP5S1	chr20	3801177	1.310340
ENSG00000259759.1	RP11-324D17.2	chr16	54273604	0.000000
ENSG00000253126.1	IGLVI-56	chr22	22552959	0.000000
ENSG00000234238.1	RP11-430L16.1	chr3	187824883	0.000000
ENSG00000233508.1	RP1-269M15.3	chr20	41818861	0.000000
ENSG00000243664.1	RPS29P12	chr5	180372755	0.000000
ENSG00000235976.2	RP1-197J16.1	chrX	101244795	0.000000
ENSG00000267717.1	SRSF10P1	chr18	48685703	0.000000
ENSG00000232002.1	AC093642.6	chr2	243026246	0.000000
ENSG00000221539.1	SNORD99	chr1	28905284	0.084064
ENSG00000254920.1	RP11-56P9.6	chr11	48914807	0.000000
ENSG00000231378.1	NDUFAF4P4	chr1	174819256	0.000000
ENSG00000257323.1	RP11-361A23.1	chr12	75050340	0.000000
ENSG00000117394.15	SLC2A1	chr1	43396746	1.722466
ENSG00000173436.9	MINOS1	chr1	19923476	4.723559
ENSG00000226235.1	LEMD1-AS1	chr1	205342379	0.000000
ENSG00000261654.1	RP11-96K19.4	chr1	111484925	0.000000
ENSG00000151422.8	FER	chr5	108083522	1.056584
ENSG00000108270.6	AATF	chr17	35306174	0.641546
ENSG00000264799.1	AC009892.1	chr19	55140864	0.000000
ENSG00000251615.3	RP11-774O3.3	chr4	8360015	0.000000
ENSG00000254227.1	RP11-622O11.4	chr8	127013201	0.000000
ENSG00000259443.1	RP11-403B2.5	chr15	20978412	0.000000
ENSG00000241537.1	RP11-624D20.1	chr3	72821689	0.000000
ENSG00000101017.9	CD40	chr20	44746910	0.398549
ENSG00000154258.12	ABCA9	chr17	66985232	0.000000
ENSG00000172288.6	CDY1	chrY	27768263	0.000000
ENSG00000200670.1	RNU6-912P	chr7	65279658	0.000000
ENSG00000270369.1	RP11-144G6.13	chr10	47174689	0.000000
ENSG00000258678.1	RP11-1078H9.1	chr14	90921440	0.000000
ENSG00000267182.1	RP11-382N13.5	chr16	5339360	0.000000
ENSG00000238211.1	POLR2LP	chr6	31108503	0.000000
ENSG00000248122.1	APOOP4	chr4	69170607	0.000000
ENSG00000212497.1	RNA5SP465	chr19	12138786	0.000000
ENSG00000261840.1	RP11-146F11.1	chr16	30710232	0.028569
ENSG00000164266.6	SPINK1	chr5	147207643	0.000000
ENSG00000169255.9	B3GALNT1	chr3	160818926	1.422233
ENSG00000234769.4	WASH4P	chr16	64915	0.000000
ENSG00000158882.8	TOMM40L	chr1	161195792	0.378512
ENSG00000070081.11	NUCB2	chr11	17229699	3.370164
ENSG00000261399.1	LA16c-329F2.1	chr16	1764159	0.056584
ENSG00000185432.10	METTL7A	chr12	51317254	0.400538
ENSG00000241815.1	RP11-124D9.1	chr3	96285200	0.000000
ENSG00000206344.6	HCG27	chr6	31165536	0.485427
ENSG00000240877.2	RN7SL521P	chr7	148823028	0.000000
ENSG00000253713.1	CTC-264O10.2	chr5	166546540	0.000000
ENSG00000248548.1	MTND4P8	chr4	156377513	0.000000
ENSG00000009724.12	MASP2	chr1	11103205	0.000000
ENSG00000237424.1	FOXD2-AS1	chr1	47900263	0.028569
ENSG00000234567.1	RP1-283K11.2	chr6	133777693	0.000000
ENSG00000177519.3	RPRM	chr2	154335272	0.000000
ENSG00000263392.1	AC084262.2	chr8	29171315	0.000000
ENSG00000253222.1	NRG1-IT2	chr8	32028897	0.000000
ENSG00000164871.13	SPAG11B	chr8	7309837	0.000000
ENSG00000228360.1	RP11-365F18.1	chr7	138912524	0.000000
ENSG00000271533.1	RP3-368A4.6	chrX	73433445	0.000000
ENSG00000228166.1	MTND1P11	chr9	5094138	0.000000
ENSG00000260414.1	RP11-1437A8.2	chr16	33165746	0.000000
ENSG00000268034.1	AC005795.1	chr19	42012067	0.000000
ENSG00000215326.3	GPX1P2	chr21	28516218	0.000000
ENSG00000202160.1	RNU5E-7P	chr2	16005058	0.000000
ENSG00000235604.1	SPANXB1	chrX	140096760	0.000000
ENSG00000242524.1	OR2U2P	chr6	29237148	0.000000
ENSG00000252327.1	RNU6-1302P	chr11	47461567	0.000000
ENSG00000236878.1	AC012363.7	chr2	120968629	0.000000
ENSG00000258799.1	RP11-810K23.5	chr15	21106888	0.000000
ENSG00000206047.2	DEFA1	chr8	6836106	0.000000
ENSG00000231496.1	RP1-251M9.2	chr10	11002113	0.000000
ENSG00000250156.3	CTC-498M16.2	chr5	87725593	0.000000
ENSG00000227964.1	RP5-1112F19.2	chr20	50479401	0.000000
ENSG00000261733.1	RP11-80F22.8	chr16	34763638	0.000000
ENSG00000223316.1	AC027281.1	chr16	70907166	0.000000
ENSG00000197421.5	GGT3P	chr22	18778686	0.000000
ENSG00000272734.1	ADIRF-AS1	chr10	88727256	0.028569
ENSG00000252148.1	RNU6-1206P	chr2	201944564	0.000000
ENSG00000263631.1	MIR378D1	chr4	5925005	0.000000
ENSG00000228316.1	RP11-522L3.5	chrX	102053323	0.000000
ENSG00000229406.1	OFD1P4Y	chrY	20633973	0.000000
